# _PRONUNCIATION.tsv — terms a text-to-speech voice may mispronounce.
# Fill the 'alias' column with a plain phonetic RESPELLING, e.g.
#   Qabalah  ->  Kah-BAH-lah
# In ElevenLabs these become ALIAS rules, which work on ALL models.
# Do NOT put IPA / phonemes here: phoneme rules only apply to
# eleven_flash_v2 and are silently IGNORED on V3 and other models.
# Sorted by frequency (most-spoken first) so you can triage the
# high-impact names first. Case-sensitive: 'Word' and 'word' are separate.
# Tab-separated; leave 'alias'/'notes' blank to fill in.
#
term	count	alias	notes
The	122		
Consciousness	14		
Of	10		
Focus	9		
And	8		
An	7		
Fringe	7		
Instinct	6		
Jung	6		
To	6		
Foreconscious	4		
Self	4		
Evolution	3		
Freud	3		
II	3		
III	3		
Mind	3		
Or	3		
Reproductive	3		
STAGE	3		
Autosuggestion	2		
DISSOCIATION	2		
Dreams	2		
Freudian	2		
Great	2		
INSTINCT	2		
Levels	2		
Live	2		
Nancy	2		
Nature's	2		
New	2		
Organisation	2		
Preservation	2		
REPRESSION	2		
School	2		
SHOULD	2		
Suggestion	2		
THOSE	2		
Vienna	2		
WE	2		
WHILE	2		
Will	2		
Zurich	2		
ABREACTION	1		
Aggrandisement	1		
Application	1		
ARC	1		
AUTO	1		
AXON	1		
Bois	1		
CENSOR	1		
Central	1		
Children	1		
Complex	1		
COMPLEXES	1		
CONFLICT	1		
CONSCIOUS	1		
COPROPHILIC	1		
Couc	1		
Delusions	1		
DENDRITE	1		
Doctor	1		
Du	1		
Emile	1		
English	1		
Enters	1		
Environment	1		
EROTIC	1		
Europe	1		
Falls	1		
Firth's	1		
FORECONSCIOUS	1		
Freudians	1		
Fully	1		
Fund	1		
Give	1		
Grocer's	1		
HERD	1		
HOMOSEXUAL	1		
Idea	1		
Instincts	1		
Interpretation	1		
IT	1		
Lower	1		
Maintenance	1		
MEMORY	1		
MIND	1		
Miss	1		
MOTOR	1		
MUCH	1		
Nature	1		
Nervous	1		
Niagara	1		
Organization	1		
ORIGINALLY	1		
Peace	1		
Physical	1		
Practical	1		
PRECONSCIOUS	1		
PRESERVATION	1		
Prince's	1		
Psychology	1		
Psychopathology	1		
puzzled	1		
REPRODUCTION	1		
Save	1		
SELF	1		
SENSORY	1		
SEX	1		
Sigmund	1		
SOCIAL	1		
SUBLIMATION	1		
Sundays	1		
System	1		
TANSLEY	1		
TRANSFERENCE	1		
Upper	1		
Vehicle	1		
VII	1		
VIII	1		
War	1		
WHEN	1		
Word	1		
XII	1		
XIII	1		
XIV	1		
XIX	1		
XV	1		
XVI	1		
XVII	1		
XVIII	1		
XX	1		
XXI	1		
XXII	1		
XXIII	1		
XXIV	1		
Zeppelins	1		
